protocol,variant,domain_name,tor,dig_begin,dig_end,dig_out
DO53,,DNSHACKATHON-bxaornizjmcedzvgjseoppukneeiofeinlpc.se,FALSE,2025-03-16 11:53:25.580820,2025-03-16 11:53:25.585070,
DOH,,DNSHACKATHON-rnqtmhxuajvbszgiaiegiwasmmepwqinkqvm.se,FALSE,2025-03-16 11:53:25.592648,2025-03-16 11:53:25.596473,
DOHOT,DEFAULT,DNSHACKATHON-fjpbtxprkqdymntkktghmzbiwsemnhifyzlj.se,TRUE,2025-03-16 11:53:25.604064,2025-03-16 11:53:25.608117,
DOHOT,GOOD,DNSHACKATHON-calndfbckgvpqvqrxccntmavgpddxepxwxhy.se,TRUE,2025-03-16 11:53:25.651604,2025-03-16 11:53:25.667768,
DOTOT,DEFAULT,DNSHACKATHON-jwowsuiqunfqxxlstrcvirypmiknjmzktlil.se,TRUE,2025-03-16 11:53:25.688659,2025-03-16 11:53:25.707200,
DOTOT,GOOD,DNSHACKATHON-xcgrwkqqkfyycvkedelwediuaivfrmqfujgn.se,TRUE,2025-03-16 11:53:25.719467,2025-03-16 11:53:25.723457,
DO53,,DNSHACKATHON-nhcxhoefzfbgpaeasatyiqrjhuugpxfhvcoj.se,FALSE,2025-03-16 11:53:25.737449,2025-03-16 11:53:25.741499,
DOH,,DNSHACKATHON-wojgvpctceojdprgmtmseqammzgueioribbx.se,FALSE,2025-03-16 11:53:25.767216,2025-03-16 11:53:25.776965,
DOHOT,DEFAULT,DNSHACKATHON-bosfcipprbztxsvjmyoibabadxtvmqtzntmn.se,TRUE,2025-03-16 11:53:25.785923,2025-03-16 11:53:25.825530,
DOHOT,GOOD,DNSHACKATHON-vrerjbyzoubygwoipfgrkerwhultfvzmgbsx.se,TRUE,2025-03-16 11:53:25.833664,2025-03-16 11:53:25.837385,
DOTOT,DEFAULT,DNSHACKATHON-kpcutneynrwjveepuiooafnrwvsjgyqwkzkj.se,TRUE,2025-03-16 11:53:25.844746,2025-03-16 11:53:25.854867,
DOTOT,GOOD,DNSHACKATHON-ewxlykgedbyeggmcqlquwdrmhrlzetxgqcnj.se,TRUE,2025-03-16 11:53:25.877587,2025-03-16 11:53:25.887270,
DO53,,DNSHACKATHON-dnypodyvwpucruhakgriahmyhyrwfhiqriyz.se,FALSE,2025-03-16 11:53:25.900460,2025-03-16 11:53:25.916926,
DOH,,DNSHACKATHON-agaokfzzvnmktyfceywgdbwuntplnuglhwvw.se,FALSE,2025-03-16 11:53:25.937505,2025-03-16 11:53:25.944372,
DOHOT,DEFAULT,DNSHACKATHON-ujinggjyonwibhnzxogxbgljyyrcqtipgqoq.se,TRUE,2025-03-16 11:53:25.964258,2025-03-16 11:53:25.978869,
DOHOT,GOOD,DNSHACKATHON-cnzsbshudtnkrvhcieyoamzrxfogmrjwonhz.se,TRUE,2025-03-16 11:53:25.987177,2025-03-16 11:53:25.991125,
DOTOT,DEFAULT,DNSHACKATHON-ctixsbtzcnbbnoqalbwczzlnjvrwwzcxylwa.se,TRUE,2025-03-16 11:53:26.008479,2025-03-16 11:53:26.028343,
DOTOT,GOOD,DNSHACKATHON-qniyxglkvdxixtbxqcstzcyaiuvgrlybfaaj.se,TRUE,2025-03-16 11:53:26.037887,2025-03-16 11:53:26.042765,
